file,orgText,outText,WER
achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss, anaker hat er allen graberschrunk die ein japanisches mädchen sich nicht drißelend umsehen zu zeigen muss,0.7142857142857143
achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder, um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reihe feder,0.1176470588235294
achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee, ihre arme kurz wie die flutle eines noch nicht flischen sperelings sass sie auf dem mathe und bereitete ihren themen,0.3
achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater, so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dänerin auf den hohen holzschuhen zum theater,0.05
achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt, so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten, was heißt ihnen nur ihr schatten mit der dänerin und der papierlaterner den weg zu beschatten,0.4117647058823529
achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle, lach sie in der nacht hinter der wo die schlossen in papierwächtchen ihres hauses fließiert und kopf auf der schlummerwolle,0.5882352941176471
achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm, und zog mit den fingerspitzen den seiten an schlafsack ans kind so war ihr feines vom mondbeschienen des gesichts vornehmen,0.3684210526315789
achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich, es wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,0.0909090909090909
achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht , herr dacke war das reichste mädchen auf die basile nicht pro freitag da aus einer schönheit bei dir die frauen ruhig und wochenlos macht,0.6190476190476191
