Unnamed: 0,file,orgText,outText,WER
0,achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,alle gehört hallo körper schrauben und den ein japanisches mädchen sind sind tribünen grundlegend zeigen muss  ,0.7142857142857143
1,achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reihe feder  ,0.1176470588235294
2,achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre runde positiv flügel eines noch nicht folgenschwere links saß sie auf der markt und bereitete ihren t  ,0.45
3,achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glas glocke ging sie abends mit ihrer dienerinnen auf den hohen holzschuhen zum theater ,0.15
4,achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,super sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt  ,0.1333333333333333
5,achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,als ginge nur schatten mit der dienerin und der papier laterne den weg zu den schatten  ,0.2352941176470588
6,achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,lassen in der nach hinter den geschlossenen papier wenden ihres hauses nimmt frisierte auf auf der schonmal  ,0.5294117647058824
7,achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack ein skin so war ihr feines vom mod beschienenen das gesicht vornehmen  ,0.3157894736842105
8,achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jade stein geschnitten und erschienen und zerbrechlich und unvergänglich  ,0.5454545454545454
9,achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,halbe werke wollen und das reich der mädchen abi was er nicht bloß reich an der äußeren schönheit reiche die frauen ruhig und wunschlos macht  ,0.5714285714285714
10,achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken  ,0.0
11,achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte er eine seele in die augen gelegt  ,0.1052631578947368
12,achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,sodass ihrer augen weinen konnten denn die wollust der trainer ist das höchste geschenk dieser göttin  ,0.2352941176470588
13,achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,planet erde japans mit russland veganen hörte an html hause am wie war sie unseren freunden und freundinnen  ,0.631578947368421
