file,orgText,outText,WER
achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,höhere daran denke ich hoffe die einen javanisches märchen selig sind die betreffenden mit zeigen muss  ,1.0
achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ja als war biegsam wie eine reihe feder ,0.2352941176470588
achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,wir waren ruhig in die sowie flächen sperling sah sie auf den mathe und erweiterte ihren system  ,0.75
achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glas glocke ging sie abends mit ihrer dienerinnen auf den hohen holzschuhen zum theater ,0.15
achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffällig als hätte sich der körper mit der sonne zur ruhe gelegt  ,0.06666666666666668
achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,nur irischer muss berliner sein und der vier laterne ging sie zu gestalten  ,0.8235294117647058
achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,leiden in der nach der unter den und schloss als europäer welten ihres hauses hessen fließen ist und auch der schnorchler  ,0.9411764705882352
achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack als kind so war ihr feines vom mord beschienene gesicht vornehmen  ,0.2631578947368421
achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jade stein geschnitten und erschienen und zerbrechlich und unvergänglich  ,0.5454545454545454
achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,halse wollen und es der welche nahm sie überselig nicht bloß weil ich es äußern und schönheit welche die brausen so nicht gezwungen schluss macht statt zwei ,1.0476190476190477
achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken  ,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte er eine seele in die augen gelegt  ,0.10526315789473684
achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,so dass ihre augen weinen konnten denn die wollust des träne ist das fürchte geschenk dieser göttin sind ,0.17647058823529413
achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,eine welle in japan und russland vergaßen wird erhalten hatten in ihren am hinweisen häuschen konventionellen orientieren  ,0.8947368421052632
achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen,im sommer über die übernahme von kyoto sind unsere nämlich zum er angesehen hat  ,0.6875
achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen,dass die fremden vom westen wie böser heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen ,0.047619047619047616
achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen,ich ihm das land zu beteiligen auf dem privaten legionär sondern falsche versehentlich genau was ich allerdings sind  ,0.7368421052631579
achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten,und die see tiefer mit schrauben auf füllten  ,0.6666666666666666
achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen,auf reisen würden bald eisen wagen rasselnd wie gewitterwolken täglich durch japan eilen ,0.25
achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen,diese wagen wirkung die franken in maßen nach kyoto und all die ufer des b war sees bringen ,0.5
achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,die leichten vogelkäfig der bambus häuser würden verschwinden stein häuser wie man sie im westen der erde baut ,0.29411764705882354
achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn,himmel wachstum und überall wird und damit raum und also in der sicherheit  ,0.8461538461538461
achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben,denn die fremd gong um das eisen rasseln und können ohne die betäubende stimme des eisens nicht leben  ,0.4
achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend,sie leben das leben als einen ewigen kampf abzusehen sie sind w donna götter ungeduldig und aufstands  ,0.4375
achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man,und sie werden schlimmer als wolkenbrüche und schlimmer als teil von japan verheeren so sagte wolf  ,0.2
achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,habe hauke die keine eltern hatte und nur mit ein paar dienerinnen und die innern noch das haus ihres vaters bewohnte ,0.21052631578947367
achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten,hörte mosel in dem bericht in ihrer freuen sondern von verfahren zum ende ihrer heutigen ist keine chance dienen der solche in den besetzung des von lösen  ,1.263157894736842
achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen,leder die sie abends bei den bootsfahrten in lampen erleuchteten booten auf dem g war sie sagen  ,0.5714285714285714
achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend,haben die sorge ihm untergang organischen der see woher als wäre er öffnung zum nachweis von fleißig und  ,0.7368421052631579
achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten ,was nun als hätte hargeysa unserem schwimmen und eröffnen sie ostpreußen nachweisen und die der fächer intensiven statt  ,0.8947368421052632
