filename,preds
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0000.wav,anlace hatte alle egrabbageunk die ein jasanisches mädchen und sintsinicht ressir udrusig mitseigenmassen
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0002.wav,ihr aaren war kurz wie die funke berliste noch recht flicher sperrlingssass sie auf der matte und vereitete ihren tee
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0005.wav,alsgingen nur ihr schatten und der genersäng ung der papierlaterne den se zu denscheiten
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0006.wav,da sie in der nacht hatter den geschlossenen papierwäcden ihres hauses es risierte kopf auf der schluberholle
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0009.wav,hasarke war das reichsvor mädchen am siegasen nicht bloss seiich es wer äusserest schönheit weicher die frau sin solchen ins utspluss macht
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begannen wirte anraki ind ihren hause am beberseen von preussen und freud weden
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0014.wav,im sommer über die berge vom kyoto von von fuch zu ihe an den see ka
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0016.wav,sich in das landzuteilenauf dem biva-see wir sin dann ballschuffe sehen die rauch aussiessen
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0021.wav,er vom himmel wachsen und upereis wirdelt seine graue rud-eisgenessenterten
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0026.wav,heutels grosse wird die berichte ihrer freude und er fand mit ihrer freunde die muskaierische poskeliterreiche die den norden sih selbsthafesfolg illustiertn
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0028.wav,einsdes abends die sorge war eben äusserst egaben des seewisen hecters wäre er aus dartelar  weiss ufless
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0029.wav,demelbagoym als hekte hadaklereine interchwörung eröffte sie of volles lack warund die der halbvercher enthielt
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0031.wav,dem lebenswort rechts hogus schilf umsiechtein der richtung nach jabase erschob noch dreisigegetes
