file,orgText,outText,WER
achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss, anager hatte allen körperschmunk den ein japanisches mädchen sitzen und drippelnd und liegend zeigen muss,0.3571428571428571
achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder, um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reihefede,0.0588235294117647
achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee, ihre arme kurz wie die flügel eines noch nicht führungssperrlings saasie auf dem mathe und bereitete ihren tee,0.3
achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater, so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dänerin auf den hohen holzschuhen zum theater,0.05
achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt, so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten, und als gingen nur ihr schatten mit der dienerin und der papierlaterner den weg zu den schatten,0.1176470588235294
achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle, lach sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,0.0588235294117647
achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm, und zog mit den fingerspitzen den seiten an schlafsack als kind so war ihr feines vom mondbeschienenes gesicht vornehmen,0.3684210526315789
achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich, es wäre es aus jadestein geschnitten und erschien unserbrechlich und unvergänglich,0.1818181818181818
achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht , herr nacke war das reichste mädchen albi wasee nicht bloß reich und der äußeren schönheit welche die frauen ruhig und wunschluss macht,0.3809523809523809
achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken, auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzenden geschenken,0.0714285714285714
achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben, mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gelegt,0.0526315789473684
achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin, so dass ihrer augenweinen konnten denn die wallust der träne ist das höchste geschenk dieser göttin,0.2352941176470588
achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen, plane erde krieg japans mit russland begann wird der handlake in ihrem hause am bivasie von freunden und freundingen,0.4210526315789473
achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen, die im sommer über die berge von piotr zum besuch zu ihr an den see kamen,0.0625
achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen, dass die fremden vom westen wie böse häuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschletten,0.0952380952380952
achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen, und sich in das land zu teilen auf dem piwasee wurde man dann bald schiffen sehen die rauch aufdießen,0.2105263157894736
achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten, und die seethefe mit schrauben auffügelten,0.3333333333333333
achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen, auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen, diese wagen würden die fremden in massen nach kyoto und an die ufer des biva sees bringen,0.1875
achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut, die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn, würden vom himmel wachsen und überall würde dann lauch und eis und lärm sein,0.4615384615384615
achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben, denn die fremden lieben das eisen rasseln und können ohne die betäubende stimme des eisens nicht leben,0.2
achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend, sie lieben das leben als einen ewigen kampf anzusehen sie sind wie donnergörter ungeduldig und aufstampfend,0.125
achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man, und sie werken schlimmer als wolkenbrüche und schlimmer als typhoon japan verheeren so sagte man,0.1333333333333333
achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte, hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten, hörte kruselnd die berichte ihrer freunde und erfand mit ihrer freundin und keine sportlieder welche die dämonen des westens verönten,0.3684210526315789
achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen, leder die sie abends bei den bootsfahrten in lampen erleuchteten boten auf dem bivasesangen,0.5
achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend, eines abends die sonne war eben untergegangen der see war her als wäre er aus parcellar weiß und glänzend,0.1578947368421052
achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten , der himmel war golden als hätte hanake eine irontruhe geöffnet die aus gold glack waren und die der heimfächer enthielten,0.3157894736842105
achtgesichterambiwasse/achtgesichterambiwasse_0030.wav,trat hanake auf den landungssteg der vor ihrem haus in den see reichte, draht hanake auf den landungssteg der vor ihrem haus in den see reichte,0.0769230769230769
achtgesichterambiwasse/achtgesichterambiwasse_0031.wav,und den links und rechts hohes schilf umwiegte in der richtung nach yabase erschienen drei segelboote, und dem links und rechfußschilfum wiegte in der richtung nach yabase erschienen drei segelbote,0.375
achtgesichterambiwasse/achtgesichterambiwasse_0032.wav,die drei segel glitten wie senkrechte papierwände über das abendglatte wasser, die dreisehle glitten wie senkrechte papiermände über das a und glatte wasser,0.5454545454545454
achtgesichterambiwasse/achtgesichterambiwasse_0033.wav,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte, man sah keine menschen denn jedes segel reichte so tief das ist das boot verdeckte,0.1333333333333333
achtgesichterambiwasse/achtgesichterambiwasse_0034.wav,die aufgepflanzten segel wurden grösser und kamen näher hanake fühlte eine bangigkeit, die aufgepflanzten segel wurden größer und kamen näher hanake fühlt eine bungigkeit,0.25
achtgesichterambiwasse/achtgesichterambiwasse_0035.wav,als kämen mit den drei segeln drei weisse unbeschriebene blätter aus ihrem schicksalsbuch geschwommen, als kämmen mit den drei segeln drei weiße unbeschriebene blätter aus ihrem schicksalsbuch geschwommen,0.1428571428571428
