Unnamed: 0.1,Unnamed: 0,file,orgText,outText,WER
0,0,achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,ein werke in körperschaften und den ein japanisches mädchen sind trend den liegend zeitgenossen ,0.7142857142857143
1,1,achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ja als war biegsam wie eine reihe feder ,0.2352941176470588
2,2,achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre arne wie dies im rahmen eines noch nicht sperling sperlingskauz sah sie auf den mathe und bereitete ihren t hin ,0.6
3,3,achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glas glocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater ,0.1
4,4,achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffällig als hätte sich der körper mit der sonne zur ruhe gelegt  ,0.0666666666666666
5,5,achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,weil einzelne nur im schatten der dienerin und der papier laterne in weg zu den schalten  ,0.5294117647058824
6,6,achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,blasen der hat unter den beschloss papier wenden ihres hauses frisierte kopf auf der schmollen  ,0.6470588235294118
7,7,achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack als kinn so war ihr feines vom mord beschienene gesicht vornehm  ,0.1578947368421052
8,8,achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jade stein geschnitten und erschien und zerbrechlich und unvergänglich  ,0.4545454545454545
9,9,achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,herr werke und das reich der welche nahm ihnen nicht endlos reichen der äußeren schönheit welche die frauen unruhig und wunschlos wach  ,0.6666666666666666
10,10,achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken  ,0.0
11,11,achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte er eine seele in die augen gelegt  ,0.1052631578947368
12,12,achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,so dass ihre augen weinen konnten denn die wollust der träne ist es höchste geschenk dieser göttin  ,0.0588235294117647
13,13,achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,plane er den japans mit russland begann hörte haben hatte in ihrem hauser am ging war sie von freunden und vor allen dingen ,0.6842105263157895
