Unnamed: 0.1,Unnamed: 0,file,orgText,outText,WER
0,0,achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnnd und lied zeigen muß,0.2142857142857142
1,1,achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reihe feder,0.1176470588235294
2,2,achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre arme kurz wie die flügel eines noch nicht flüungsperlings saß sie auf der matte und bereitete ihren tee,0.15
3,3,achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,0.0
4,4,achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,0.0
5,5,achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,0.0
6,6,achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,lagg sie in der nacht hinter den geschlossenen papierwwenden ihres hauses lü frisiert und kopf auf der schlummerrolle,0.2941176470588235
7,7,achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehmen,0.0526315789473684
8,8,achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jadesteingeschnitten und erschien undzerbrechlich und unvergänglich,0.3636363636363636
9,9,achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,hanake war das reichste mädchen am bwasee nicht bloß reich an der äußeren schönheit welche die frauen ruhig und wunschlos macht,0.1428571428571428
10,10,achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,0.0
11,11,achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gelegt,0.0526315789473684
12,12,achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,so dass ihre augenweinen konnten denn die wollust der tränne ist das höchste geschenk dieser göttin,0.1764705882352941
13,13,achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,0.0
14,14,achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen,die im sommer über die berge von kyoto zum besuch zu ihr an den see kamen,0.0625
15,15,achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen,dass die fremden vom westen wie böse heuschrecken schwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen,0.0952380952380952
16,16,achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen,und sich in das land zu teilenauf dem biwasee würde man dann bald schiffe sehen die rauch ausstießen,0.1578947368421052
17,17,achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten,und die sehtiefe mit schrauben aufwühlten,0.1666666666666666
18,18,achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen,auf eisen würden bald eisenwagen brasselnd wie gewitter wolken täglich durch japan einenl,0.3333333333333333
19,19,achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen,0.0
20,20,achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,die leichten vogelkäfiger der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,0.0588235294117647
21,21,achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn,würten zum himmel wachsen und überall würde dann rauch und eisenlärm sein,0.1538461538461538
22,22,achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben,denn die fremden lieben das eisen rasseln und können ohne die betäubende stimme des eisens nicht leben,0.2
23,23,achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend,sie lieben das leben als einen ewigen kampf anzusehen sie sind wie donnergötter ungeduldig und aufstampfend,0.0625
24,24,achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man,und sie werden schlimmer als wolkenbrüche und schlimmer als taifphonjapan verheeren so sagte man,0.1333333333333333
25,25,achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,0.0
26,26,achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten,hörte gruseln die berichte ihrer freunde und er fand mit ihrer freundin kleine spottleder welche die dämonen des weststens verhöhnten,0.3684210526315789
27,27,achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen,lieder die sie abends bei den bootsfahrten in lampen erleuchteten boten auf dem biwasee sangen,0.2857142857142857
28,28,achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend,eines abends die sonne war eben untergegangen besee war hell als wäre er aus porzellan weiß und glänzend,0.1578947368421052
29,29,achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten ,der himmel war golden als hätte hanake eine ihrer thron geöffnet die aus goldlack waren und steht der heimfächer enthielten,0.2105263157894736
30,30,achtgesichterambiwasse/achtgesichterambiwasse_0030.wav,trat hanake auf den landungssteg der vor ihrem haus in den see reichte,trathanake auf den landungs steg der vor ihrem haus in den see reichte,0.3076923076923077
31,31,achtgesichterambiwasse/achtgesichterambiwasse_0031.wav,und den links und rechts hohes schilf umwiegte in der richtung nach yabase erschienen drei segelboote,und den links und rechtshohes schilf umwiegtein der richtung nach ja base erschienen drei segelboote,0.375
32,32,achtgesichterambiwasse/achtgesichterambiwasse_0032.wav,die drei segel glitten wie senkrechte papierwände über das abendglatte wasser,die drei segel glitten wie senkrechte papierände über das abendglatte wasser,0.0909090909090909
33,33,achtgesichterambiwasse/achtgesichterambiwasse_0033.wav,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte,0.0
