,Unnamed: 0,Unnamed: 0.1,file,orgText,outText,WER
0,0,0,achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,herr hatte allen körper schmuck den ein japanisches mädchen sitzend trippeln und liegend zeigen muss ,0.2857142857142857
1,1,1,achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reihe feder ,0.1176470588235294
2,2,2,achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre arne kurz wie die flügel eines noch nicht pflücken sperlingskauz sah sie auf der mathe und bereitete ihren tee ,0.25
3,3,3,achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glas glocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater ,0.1
4,4,4,achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffällig als hätte sich eher körper mit der sonne zur ruhe gelegt ,0.06666666666666668
5,5,5,achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,und als gingen nur ihr schatten mit der dienerin und der papier laterne den weg zu den schatten ,0.17647058823529413
6,6,6,achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,lag sie in der nacht hinter den geschlossenen papier wenden ihres hauses mit frisierte im kopf der schlummer rolle ,0.4117647058823529
7,7,7,achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mund beschienenen gesicht vornehm ,0.10526315789473684
8,8,8,achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jade stein geschnitten und erschien und zerbrechlich und unvergänglich  ,0.4545454545454545
9,9,9,achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,handwerke war das reichste mädchen am b war sie nicht bloß reich an der äußeren schönheit welche die frauen ruhig und wunschlos macht ,0.2857142857142857
10,10,10,achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken ,0.0
11,11,11,achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gelegt ,0.05263157894736842
