filename,preds
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0000.wav,annabe altab alite beschrug den neasanschlüssehefig den tehistrefeen simitzuein ovement
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0002.wav,ihr wer abendeuko ist für die frühburg eines nerfricht schwegen des baumeens basi auf dem mattel un bumen site iren v
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0005.wav,es erringern nur ihr schandtuen dei deren sinn nich derschon fioreterne den see verzie erisneten
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0006.wav,ovry etwanach dritte den bisioms em fichermitspiel edes homodes zinschefinierten mapfenspislovemrolle
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0009.wav,asende bei mauntesrals kebärt diern ansenkersäl blossen läsichen servist entstönt cützweiche die farbe wenn wonicht enswirspilt
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0013.wav,orne inde detut japar zrt russland zbegaden forte hatte safbit i össe un verwalter in belinensenie von hansih grünenschiffen
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0014.wav,im sommer über die berge von geo stitztläuslich nicht vur geer andene wegs
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0016.wav,e äut sich in das flamzmischeheenmat dem dutsamselen beruner sich mit seiner vermees schiffgesehent drauazinsef
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0021.wav,laut nimme wachsschüler über analirtens sonder gramollo berauissen wie ses simeseschefks
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0026.wav,pottet grose died die podechte ihrer quasel efand zudi ihre sliicmushem shaspilwiederrechte der norm de selbstcatorstolik ansilf
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0028.wav,anderen atens die sorgen war üben emges utanatisch für seli warhecenswe war ge sancelan wei umisslassesen
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0029.wav,lemer wag randemin als hitch und nahatengelassen vunbesuch in junien überför für sig des sak walz tideuten sicher herstuentfürt ist
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0031.wav,hilmlins u rouss ubers hali un siagtagin der richtung martene banasel chinautraliseriegüste
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0032.wav,die augen sät und modeenu es ortflusskel bampier büsche und bardesfabend bleute singefilde
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0037.wav,tufeilig ein schnampe aus derverwessung der seeberloheimiscpzur vernaufung wurde sommer gedinmen woder zu gehöchstlecgenist
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0046.wav,o is mussdanke faule salt sie die baubeförsten hinterg
../../LibriVox_Kaggle/achtgesichterambiwasse/n1n2/0_achtgesichterambiwasse_0055.wav,margt hatte ineherin auf die acceast un relesbur förmgliche von die lau sord glitsch auf ienseinewelinen souster beförnderhüf
