file,orgText,outText,WER
achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,anake hatte allen koerperschmuck den ein japanisches maedchen sitzend trippeln ud und liegend zeigen muss,0.3571428571428571
achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den goettlichen schoenheiten der vergaenglichkeit gezielt zu werden ihr hals war biegsamn wie eine reihefeder,0.3529411764705882
achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre arme kurz wie die fluegel eines noch nicht flucgen sperlinks sass sie auf der makte und bereitete ihren tie,0.25
achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuh und zum theater,0.1
achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffaellig als haette sich ihr koerper mit der sonne zur ruhe gelegt,0.2
achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,und als ginger nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schalen,0.1176470588235294
achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,lagy in der nach hinter den geschlossenen papierwaenden ihres hauses mit frisierte kopf auf der schlummerrolle,0.2941176470588235
achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zug mit dem fingerspitzen den seidenen schlafsack ans kind so war ihr vereines vom mondgeschiedenes gesicht vornehmen,0.3684210526315789
achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es waere es aus jadestein geschnitten und erschien unserbrechlich und unvergaenglich,0.3636363636363636
achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,arake war das reichste maedchenam bibesee nicht ploss reich en der aeusseren schoenheit welche die frauen ruhig und wunschlos macht,0.3809523809523809
achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die goetter der vergaenglichkeit hatten sie mit ihren glaenzensten geschenken,0.2142857142857142
achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schoenheit und geld verwoehnt aber auch die goetting der unendlichkeit hatte ihr eine seele in die augen gelegt,0.2105263157894736
achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,su dass ihre augen weinen konnten denn die wollust der traene ist das froechste geschenk dieser goetti,0.2352941176470588
achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,lange ehe de krieg japans mit russland begarn hoerte halake in ihrem hause am bivasee von freunden und freundinnen,0.2631578947368421
achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen,die im sommer ueber die berge von kyoto zun desicht zu iher an den see kamen,0.3125
achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen,dass die fremden vom westen wie boeserheuschreckenschwerme in japan erwartet juden um die maenner zu toeten die frauen zu verschleppen,0.238095238095238
achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen,und sich in das land zu teilen auf dem biwasee wurde man dann bald schiffe sehen die rauch ausshiessen,0.1052631578947368
achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten,und die seetiefe mit schrauben auffuehlten,0.1666666666666666
achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen,auf eisen wuerden bald eisenwagen brasselnd wie gewitter wolken taeglich durch japan einen,0.5
achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen,diese wagen wuerden die fremken in massen nach kyoto und an die ufer des biwa sees bringen,0.3125
achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,die leichten vogelkaefiker der bambushaeuser wuerden verschwinden und steinhaeuser wie man sie im westen der erde baut,0.2352941176470588
achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn,witen zum himmel wachsen und ieberall wurde dann rauch und eisenlaerm sein,0.3846153846153846
achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben,denn die fremden lieben das eisen rasseln und koennen ohne die betaeubun de stimme des eisens nicht leben,0.4
achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend,sie lieben das leben als einen ewigen kampf anzusehen sie sind wie donnagoetter ungeduldig und aufstampfen,0.1875
achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man,und sie werden schlimmer als wolkenbrueche und schlimmer als taifun japan verhehren so sagtte mann,0.2666666666666666
achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,0.0
achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten,hoette kruseln die berichte ihrer freunde und erfand mit ihrer freundin kleine sportlieder welche die daemonen des wessens verwuenten,0.4210526315789473
achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen,lieder die sie abends bei den bootsfahrten in lampen erleuchteten booten auf dem biver see samen,0.4285714285714285
achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend,eines abends die sonne war eben untergegangen de sie war hell als waere er aus porzellar weiss und glaenzend,0.2631578947368421
achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten ,der himmel war golden als haette hanake eine iratun geoeffnet die aus goldblack waren und die geheimfaeche enthielten,0.3157894736842105
achtgesichterambiwasse/achtgesichterambiwasse_0030.wav,trat hanake auf den landungssteg der vor ihrem haus in den see reichte,trat hanaki auf den landunsteg der vor ihrem haus in den see reichte,0.1538461538461538
achtgesichterambiwasse/achtgesichterambiwasse_0031.wav,und den links und rechts hohes schilf umwiegte in der richtung nach yabase erschienen drei segelboote,und den links und rechthohes schilfumwegtein der richtung nach jabase erschienen drei seegebulte,0.4375
achtgesichterambiwasse/achtgesichterambiwasse_0032.wav,die drei segel glitten wie senkrechte papierwände über das abendglatte wasser,die drei saegel glitten wie senkrechte papierwaende ueber das abend glaubter wasser,0.4545454545454545
achtgesichterambiwasse/achtgesichterambiwasse_0033.wav,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte,man sah keine menschen  in jedes segel reichte so tif dass es das bot verdeckte,0.2
achtgesichterambiwasse/achtgesichterambiwasse_0034.wav,die aufgepflanzten segel wurden grösser und kamen näher hanake fühlte eine bangigkeit,die aufgepflanzten sege wurden groesser und kamen neha anake fuehlte eine bangigkeit,0.4166666666666667
achtgesichterambiwasse/achtgesichterambiwasse_0035.wav,als kämen mit den drei segeln drei weisse unbeschriebene blätter aus ihrem schicksalsbuch geschwommen,als kaemen mit den dreisegeln drei weisse unbeschriebene blaetter aus ihrem schicksalsbuch geschwommen,0.2857142857142857
