Unnamed: 0.1,Unnamed: 0,file,orgText,outText,WER
0,0,achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss,kanake hatte allen cowboy schmuck den einen japanisches mädchen sitzend trippeln und liegend zeigen muss ,0.3571428571428571
1,1,achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden hier hals war biegsam wie eine reihe feder ,0.1764705882352941
2,2,achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee,ihre arne kurz wie die flügel eines noch nicht flüssen sperlingskauz saß sie auf der mathe und bereitete ihren tee ,0.25
3,3,achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater,so arbeitete sie vorsichtig wie unter einer glas glocke ging sie abends mit ihrer dienerinnen auf den hohen holzschuhen zum theater ,0.15
4,4,achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt,so war sie unauffällig als hätte sich der körper mit der sonne zur ruhe gelegt ,0.0666666666666666
5,5,achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten,und als gingen nur ihr schatten mit der dienerin und der papier laterne den weg zu den schalten ,0.2352941176470588
6,6,achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle,lag sie in der nacht hinter den geschlossenen papier wenden ihres hauses mit frisierte kopfhälfte schlummer rolle ,0.4117647058823529
7,7,achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mund beschienenen gesicht vornehmen ,0.1578947368421052
8,8,achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich,es wäre es aus jade stein geschnitten und erschien und zerbrechlich und unvergänglich  ,0.4545454545454545
9,9,achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ,handwerke war das reichste mädchen am weber see nicht bloß reich an der äußeren schönheit welche die frauen ruhig und wunschlos macht ,0.23809523809523803
10,10,achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken ,0.0
11,11,achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gelegt ,0.0526315789473684
12,12,achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin,so dass ihre augen weinen konnten denn die wollust der trainer ist das früchte geschenk dieser göttin  ,0.1176470588235294
13,13,achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen,lange ehe der krieg japans mit russland begann hörte handwerke in ihrem hauser am b war sie von freunden und freundinnen ,0.2631578947368421
14,14,achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen,die im sommer über die berge von kyoto zum besuch zu eher an den sie kamen ,0.1875
15,15,achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen ,0.0
16,16,achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen,und sich in das land zu teilen auf dem b war sie würde man dann bald schiffe sehen die rauch ausschließen ,0.2105263157894736
17,17,achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten,und die sie tiefe mit schrauben auf fühlten  ,0.6666666666666666
18,18,achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen,auf eisen würden bald eisen wagen rasselnd wie gewitterwolken täglich durch japan einen ,0.25
19,19,achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen,diese wagen würden die fremden in massen nach kyoto und an die ufer des biber sees bringen ,0.1875
20,20,achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut,die leichten vogelkäfig der bambus häuser würden verschwinden und stein häuser wie man sie im westen der erde baut ,0.2941176470588235
21,21,achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn,hirten zum himmel wachstum und überall würde dann rauch und eisen lärm sein ,0.3846153846153846
22,22,achtgesichterambiwasse/achtgesichterambiwasse_0022.wav,die fremden lieben das eisenrasseln und können ohne die betäubende stimme des eisens nicht leben,denn die fremden lieben das eisen rasseln und können ohne die betäubende stimme des eisens nicht leben  ,0.2
23,23,achtgesichterambiwasse/achtgesichterambiwasse_0023.wav,sie lieben das leben als einen ewigen krieg anzusehen sie sind wie donnergötter ungeduldig und aufstampfend,sie leben das leben als einen ewigen kampf anzusehen sie sind wie donner götter ungeduldig und aufstands sind ,0.375
24,24,achtgesichterambiwasse/achtgesichterambiwasse_0024.wav,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man,und sie werden schlimmer als wolkenbrüche und schlimmer als taifun japan verheeren so sagte man  ,0.0
25,25,achtgesichterambiwasse/achtgesichterambiwasse_0025.wav,hanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte,kanake die keine eltern hatte und nur mit ein paar dienerinnen und dienern noch das haus ihres vaters bewohnte ,0.0526315789473684
26,26,achtgesichterambiwasse/achtgesichterambiwasse_0026.wav,hörte gruselnd die berichte ihrer freunde und erfand mit ihren freundinnen kleine spottlieder welche die dämonen des westens verhöhnten,hörte gruseln die berichte ihrer freunde und erfand mit ihrer freundin kleine spott lieder welche die dämonen des westens verhöhnten ,0.2631578947368421
27,27,achtgesichterambiwasse/achtgesichterambiwasse_0027.wav,lieder die sie abends bei den bootfahrten in lampenerleuchteten booten auf dem biwasee sangen,lieder die sie abends bei den bootsfahrten in lampen erleuchteten booten auf dem wie war sie sangen  ,0.4285714285714285
28,28,achtgesichterambiwasse/achtgesichterambiwasse_0028.wav,eines abends  die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiss und glänzend,eines abends die sonne war eben untergegangen der see war hell als wäre er aus porzellan weiß und glänzend ,0.0526315789473684
29,29,achtgesichterambiwasse/achtgesichterambiwasse_0029.wav,der himmel war golden als hätte hanake eine ihrer truhen geöffnet die aus goldlack waren und die geheimfächer enthielten ,der himmel war golden als hätte hanna geht eine ihrer touren geöffnet die aus goldlack waren und die daheim fächer enthielten ,0.2631578947368421
30,30,achtgesichterambiwasse/achtgesichterambiwasse_0030.wav,trat hanake auf den landungssteg der vor ihrem haus in den see reichte,trat hanna geht auf den landung steg der vor ihrem haus in den sie reichte ,0.3846153846153846
31,31,achtgesichterambiwasse/achtgesichterambiwasse_0031.wav,und den links und rechts hohes schilf umwiegte in der richtung nach yabase erschienen drei segelboote,und den links und rechts hohes schilf um wiegte in der richtung nachher base erschienen drei segelbooten ,0.3125
32,32,achtgesichterambiwasse/achtgesichterambiwasse_0032.wav,die drei segel glitten wie senkrechte papierwände über das abendglatte wasser,die drei segel glitten wie senkrechte papier wende über das abend glatte wasser ,0.3636363636363636
33,33,achtgesichterambiwasse/achtgesichterambiwasse_0033.wav,man sah keine menschen denn jedes segel reichte so tief dass es das boot verdeckte,man sah keine menschen in jedes segel reichte so tief dass es das boot verdeckte ,0.0666666666666666
34,34,achtgesichterambiwasse/achtgesichterambiwasse_0034.wav,die aufgepflanzten segel wurden grösser und kamen näher hanake fühlte eine bangigkeit,die aufgepflanztem segelbooten größer und kamen näher kanake gefüllte eine bangigkeit ,0.5
